Token,Coefficient,OddsRatio
selenium,1.1538886418286045,3.170497900085508
endurance,1.1483069959467966,3.1528505998450136
load,1.141360643372514,3.131025677524727
play,1.1407204341377728,3.1290218074882588
repeated,1.139213452615897,3.124309980652526
cpps,1.1390055915445618,3.123660625722908
maximum,1.1378769944525493,3.1201372600284065
disease,1.1357123883720617,3.113390696403978
transrectal,1.1308093679631472,3.0981630395403403
inflammation,1.1281567375403043,3.0899556484070074
jnj,1.124804561867555,3.0796149159118005
brain,1.1241221477476067,3.0775140601175366
biopsy,1.1208261215660762,3.0673871915812887
plasma,1.1175279702369352,3.057287149327796
co,1.106454036342442,3.0236177241126154
intranasal,1.0992338765012037,3.0018653431765343
rising,1.0992264462706671,3.0018430387078583
alopecia,1.093765317602039,2.985494269628228
injection,1.0902004119944746,2.974870212496863
bicalutamide,1.0850091070439647,2.9594667706107574
testing,1.0838662566772816,2.956086474880805
previously,1.0828361444651684,2.9530429419623134
injury,1.0823786893704161,2.951692366360888
pudendal,1.0652782048817522,2.901646123896092
ckd,1.0649209293193642,2.9006096218147834
cholesterol,1.0625967940734482,2.8938760406657322
azoospermia,1.0609517320898632,2.889119348805224
schizophrenia,1.0586246464965068,2.8824039374901065
luts,1.057711063765134,2.879771825537059
oxidative,1.0532472999194198,2.8669458515344943
double,1.052894282227082,2.8659339475464423
robot,1.0468534804281098,2.848673594274592
psma,1.0437555490745045,2.839862254540515
although,1.0435677966226455,2.839329113490119
activation,1.0420375109556947,2.8349874516826725
soccer,1.036421363778977,2.8191103706534797
hypertrophy,1.0268154577993287,2.7921599105137993
dutasteride,1.0209098157283383,2.7757190083027754
dmd,1.0168939991410382,2.764594581646192
together,1.0149204984257483,2.759144032362305
enzalutamide,1.0115983580116008,2.749992977425049
caudal,1.0113890271846366,2.7494173793682495
arterial,1.0060066331235071,2.734658685776474
hamstring,1.0050518464388132,2.7320489161610104
bed,1.002560385259483,2.725250594739963
tolerated,1.0005217160873083,2.71970036982454
inhibition,0.9996189467285601,2.7172462155999804
urologist,0.9922060221789012,2.697177948593752
epidemiological,0.9812917851136674,2.6679003708970876
oxygen,0.981276495060904,2.667859578871506
viii,0.9769791349375685,2.6564194243402772
rosuvastatin,0.9743215629740367,2.649369170982078
peptide,0.9741642361436876,2.6489523869145004
football,0.9734172629037672,2.646974429200363
hyperlipidemia,0.9725292085997551,2.644624815612548
escalation,0.9665946407191686,2.6289765887841137
skeletal,0.9662231938403704,2.6280002449769317
elimination,0.9612348749128726,2.614923584007047
heart,0.9594063977738322,2.6101466246247766
trus,0.9565011585873958,2.6025745290689066
spermatozoon,0.9554893509912233,2.599942556140432
atorvastatin,0.9549520126823711,2.598545882680885
eu,0.9525329047424662,2.592267317029784
liver,0.95093707806223,2.5881338067431843
psoriasis,0.9508995313982631,2.5880366327771314
chinese,0.95055750169133,2.5871515987286866
endothelial,0.9502330131486759,2.586312233866295
vivo,0.9477842654285235,2.5799867555910883
china,0.9438311152167171,2.5698078131019555
chronic,0.9417788705826077,2.564539346746831
bi,0.9405329193295481,2.561346045496184
pharmaceutical,0.9396779354639408,2.559157071854965
consist,0.9391071814993056,2.557696839566404
rectum,0.9308586519256257,2.5366863733966385
renal,0.9302720868325083,2.5351988780168995
normal,0.9298210864606477,2.5340557601728353
inhibitor,0.9235243771953044,2.518149678329703
nerve,0.9207221151516161,2.5111030409392847
aid,0.9176789939352382,2.5034730653573485
ankle,0.9175586409994255,2.5031717831546674
capsule,0.9129594702798833,2.4916857022535597
veteran,0.9125332858112818,2.490624010760905
beam,0.8998589431764701,2.4592561918231906
pf,0.8975420132837835,2.4535648633890683
itraconazole,0.8970934481023954,2.4524645264259495
nocturnal,0.8951709773572375,2.4477542642417025
degree,0.895153537473424,2.44771157606397
rest,0.8927547674275461,2.441847115412688
voluntary,0.8915653079719483,2.438944363966951
washout,0.8834925443596809,2.4193346016375017
peyronie,0.8777839847040634,2.405563031051851
lung,0.872421473771296,2.3926976990702475
postprandial,0.870372031390489,2.3877990244915823
robotic,0.8688832285384199,2.384246707499739
cross,0.8659850024412292,2.3773466252989683
copd,0.8655495169190598,2.3763115506588406
attenuated,0.8636862941663174,2.3718880751498665
military,0.8636100393488714,2.3717072141535422
hypoxia,0.862291336875034,2.368581699248072
endotoxemia,0.8578852608370784,2.358168505686767
sexual,0.8571566814641508,2.3564510184944814
alzheimer,0.852537471001435,2.3455911765525275
tadalafil,0.852437490608974,2.3453566751491093
18f,0.849952775693948,2.339536366335825
subcutaneous,0.849822403637975,2.3392313760512597
progressive,0.8452822713349313,2.3286350287276387
ix,0.8422622290069472,2.3216130610313677
profile,0.8405069745946044,2.3175416137204845
vehicle,0.8362510577328451,2.30769930816191
safe,0.8337009194889933,2.301821853247324
iief,0.8336243134897419,2.3016455266380813
relatively,0.833154392427975,2.300564189019952
eccentric,0.831314947084863,2.2963363165981527
clamp,0.8291476428057613,2.2913648463632916
individual,0.8286444085324179,2.290212043129245
hyperalgesia,0.8263692865680362,2.2850074541891274
especially,0.8255492054753728,2.2831343309408103
inc,0.8252161220946903,2.28237398347589
crpc,0.8250047192245212,2.281891534062376
property,0.8248048307640197,2.281435455860504
guided,0.8193411462490275,2.2690044028883234
impaired,0.8183033895937802,2.266650949835435
needle,0.8153861508412344,2.260048223393393
coagulation,0.8138413417868051,2.256559575775448
cj,0.8092270735307215,2.2461711903874444
impairment,0.8068499302590222,2.240838060972857
synthesis,0.8052556902911117,2.237268473519971
progression,0.8046032089578729,2.2358091737382617
monitored,0.804236352204456,2.234989102477062
entering,0.8012616727509592,2.2283506049114714
telmisartan,0.8011540225411171,2.228110735412484
recovery,0.800716056095363,2.2271351113338484
usa,0.7989348662653282,2.2231716917726088
amlodipine,0.798895227075753,2.2230835687950337
ymsm,0.7979739157869732,2.2210363600102925
suicide,0.7975895071576756,2.2201827385477606
prophylaxis,0.7969470019492971,2.2187567177366474
pca,0.7940603050942041,2.212361075279075
fviii,0.7914242394280816,2.2065368261317184
stricture,0.7901713784022927,2.2037740731744244
orally,0.7899422683880495,2.203269224300305
lean,0.7898266188126966,2.203014431883728
obstruction,0.7897955819153775,2.202946058212072
seminal,0.7893607170695243,2.2019882826805928
suppression,0.7870824555443907,2.1969772878431906
intestinal,0.7852943945979822,2.193052468508429
sequence,0.7844549516602545,2.191212298568562
adaptation,0.7777403296415828,2.1765484225083127
adme,0.7726585027735858,2.1655156373507647
labeled,0.7716491721744697,2.1633310188417414
forearm,0.7692173807469534,2.1580766403808527
epidemic,0.7681955344775938,2.155872544132439
biochemical,0.7680225380529507,2.155499618148679
atopic,0.7656359573082133,2.1503614779966957
ip,0.7652922159939158,2.149622436942783
dextromethorphan,0.7651898351461173,2.149402368040855
running,0.764879209594673,2.148734812430289
heat,0.7646976432340882,2.1483447098863553
hypogonadal,0.7632555575963991,2.145248845622634
drink,0.7605441111765655,2.1394399970701836
hcl,0.760092085398937,2.1384731335818916
ventilation,0.7583768874575326,2.1348083726590663
excellent,0.7557130670352827,2.129129194032649
fructose,0.7538013817373641,2.1250628570717223
cold,0.7534529997802519,2.1243226524590417
tomato,0.7510409355376881,2.1192048244956085
prep,0.7473637046277017,2.111426329436696
coadministration,0.7473066456651927,2.1113058570779706
hrpc,0.7455893499222866,2.10768323196727
couple,0.7438203901509906,2.1039581208765066
involvement,0.7431379905057981,2.102522870364237
leo,0.7429882124627686,2.1022079821855453
autism,0.7373759080345336,2.090442796800668
check,0.731457513729952,2.0781072713166657
clinically,0.7304503044505605,2.0760152361249125
cabazitaxel,0.7301911624796469,2.0754773231459014
feel,0.7285271228276388,2.0720265185174904
selected,0.7276888078049624,2.0702902354374126
minority,0.7264945148500919,2.067819178271488
stroke,0.7250291359663759,2.0647912587787784
tendon,0.7231934936220809,2.061004517127007
fasted,0.7217122098953404,2.0579538446885834
genotype,0.7200819437971853,2.054601565599959
peripheral,0.7190470217556393,2.0524763130781545
oxide,0.718723983923216,2.05181339265883
cyp3a4,0.7173869489888215,2.0490718796317404
urethra,0.7115193255101794,2.037083902224727
initial,0.702968232100351,2.0197388726677645
tolerable,0.7004270190938143,2.0146128019521004
frequency,0.6990770946064844,2.0118950615831044
computed,0.6975557040365281,2.0088365106239148
magnetic,0.6973230576672073,2.0083692164624116
required,0.6965435186324138,2.0068042243273823
expected,0.6963412028995393,2.006398257328142
caffeine,0.6946424708528266,2.0029928175936758
hypertension,0.6933944411299537,2.0004945822828457
clopidogrel,0.6915471430749137,1.9968024837850071
gelesis200,0.6914895207391542,1.9966874266768024
indicator,0.6902083683926498,1.9941310038281108
etoposide,0.6893964923800991,1.992512673730805
quadriceps,0.6856125667659754,1.9849874005042278
alcoholic,0.6846292577525233,1.98303650382606
steady,0.6799499850789268,1.9737790113602407
blocker,0.678987204182582,1.9718796091353055
retain,0.6784974033172332,1.9709140172895525
black,0.6783574865017533,1.9706382725677802
lichtenstein,0.6775176845919598,1.968984021501792
uptake,0.6770649531089012,1.9680928022023587
ketoconazole,0.6735056656928053,1.9611002458987141
solid,0.6723215603523894,1.9587794709166437
mechanism,0.671276549104012,1.9567335935050822
transgender,0.6708291786461089,1.955858404482815
leuprolide,0.6667445707193906,1.9478857833406953
able,0.6654979969325053,1.945459112809516
finasteride,0.664516924102843,1.9435514116826051
specific,0.6634535193817118,1.9414857284589682
particular,0.66333825314729,1.9412619536069549
degarelix,0.6625775081687986,1.9397857099174947
steep,0.6617129434875134,1.938109364462394
altitude,0.6609673886679344,1.9366649362019805
count,0.6606232884521874,1.9359986440218198
anal,0.6598900129952141,1.9345795440905869
urology,0.6595478476727668,1.9339177112916568
dynamic,0.6590876708044993,1.933027971830248
motor,0.658975477877944,1.9328111119302762
omeprazole,0.6589259505340105,1.93271538730009
sti,0.6584459254037945,1.9317878579811325
speed,0.6582751540715963,1.931457992161715
delay,0.6541726341492431,1.9235503789309578
cognitive,0.6503636322318298,1.916237508060513
glp,0.6495943281913468,1.9147639056998387
ask,0.6481006422815181,1.9119059847827073
highest,0.6467753939293023,1.9093739127095402
kinetics,0.6463969465732267,1.9086514519158269
signalling,0.6456216115177095,1.9071721810757667
elucidate,0.6431670016259703,1.9024965581376003
calcitriol,0.6417305514613201,1.8997656784992425
animal,0.6408074618645025,1.8980128337058912
flexibility,0.6398378198238969,1.8961733326416295
failure,0.6396139400939361,1.8957488653845394
induce,0.638864537525847,1.8943287185136877
goserelin,0.6386416777164374,1.8939065958153596
retention,0.6376925118923727,1.8921098172559376
drinking,0.6366353766018964,1.8901106580716995
j591,0.6363951701827046,1.8896566958831467
cerebral,0.6353902613189337,1.887758716927629
confidence,0.6347412323640884,1.8865339043729823
consecutive,0.6344432037177665,1.885971747000883
want,0.6336918517630261,1.8845552506524765
kidney,0.6316056821337968,1.8806278467636903
modulation,0.6298369875414691,1.877304530293229
african,0.6297333325807478,1.8771099484507403
dosimetry,0.627892185599361,1.873657092718254
sarcopenia,0.626871471180251,1.8717455996174925
studying,0.6257443392643941,1.8696370839246914
gout,0.623954242713418,1.8662932468177456
rid,0.6237704121921391,1.8659501966898318
untrained,0.6234127394275332,1.8652829164654596
simultaneous,0.6224330909907193,1.8634564897462391
basal,0.6221745078782461,1.8629746936620124
elderly,0.6209106578041538,1.8606216602113577
gip,0.6205020070672975,1.8598614711353936
urologic,0.619536722758344,1.8580670422468377
occupancy,0.61841416727687,1.855982429169443
simvastatin,0.6175972185121297,1.8544668057941698
swallowing,0.6170296214849789,1.8534145146151746
enlarged,0.6163697864362456,1.8521919701418028
intense,0.6158852098607608,1.8512946587253762
pde5,0.6157408587849457,1.8510274416367396
marketing,0.6143041707960131,1.848370002156942
assisted,0.614285444325497,1.8483353890346856
extent,0.6138322095956035,1.8474978490593235
prosocial,0.6127559509635169,1.84551053317628
rarp,0.6123701877335443,1.844798740372626
zoledronic,0.6119857604563249,1.8440896857145548
mesh,0.6113557542252045,1.8429282636118054
amputation,0.6112873183168462,1.8428021454576005
hunter,0.6078736900169196,1.8365222286518128
rp,0.6073211266443004,1.8355077140528762
motion,0.6068739326882904,1.8346870696042368
alter,0.6057416270899101,1.8326108188610508
cl,0.6049685225863941,1.8311945667097955
cyp2c19,0.6039600000395112,1.8293486966587773
peer,0.6034385523161446,1.8283950356094616
derived,0.6030933277201632,1.827763937613542
underlying,0.6028100629528657,1.8272462698090655
sipuleucel,0.6026601098286665,1.826972289064874
still,0.6020292844364258,1.8258201519908794
particle,0.6020000914140275,1.8257668515602914
sufficiently,0.6016350691503083,1.8251005276300445
extremity,0.6010836903841741,1.824094483334268
report,0.6002961911426805,1.822658575774494
intention,0.5990563492395663,1.8204001676210133
recent,0.5988972149233824,1.820110502533597
oxidation,0.5988922847778742,1.8201015291460985
chain,0.5979906989898762,1.8184612909935174
act,0.5970483634353473,1.8167484974043742
immediate,0.5965822470884644,1.8159018785583292
eligard,0.59582220489447,1.8145222408683135
rehabilitation,0.5956792754413437,1.8142629107301396
young,0.5951055429738001,1.813222307736
gay,0.5948952900491918,1.8128411125179424
casodex,0.5942980115754769,1.8117586648386983
consumed,0.5939653539456423,1.811156069729908
balanced,0.5935260059081373,1.8103605166401984
cardiovascular,0.5935222235814143,1.8103536692781874
bind,0.5933421169837068,1.8100276419988797
neural,0.5916216393576142,1.8069162072826173
radiolabelled,0.5915152003645954,1.8067238911761925
pathophysiology,0.5899881472837399,1.8039670333617506
soreness,0.5886519878229989,1.8015582553573894
achilles,0.5876502236301492,1.799754422464291
pro,0.5850972021328759,1.795165471072238
caucasian,0.5844861599451335,1.7940688842999442
thalidomide,0.5839133668404535,1.7930415482672823
fragmentation,0.582383120995094,1.7902998521570388
prolong,0.5823241227561047,1.7901942307342682
habit,0.5821716337189529,1.7899212665522604
midazolam,0.5813174048484192,1.788392917003481
vmmc,0.581086812078502,1.7879805740705255
ar,0.5799289876971985,1.7859116045513772
hydrochloride,0.5798577050420739,1.7857843045675814
eligibility,0.5792883842735498,1.7847679098296567
various,0.57911946622012,1.7844664557697376
bipolar,0.5791123484859515,1.784453754457075
gp,0.5788980922474617,1.7840714650632925
positron,0.5782669119104777,1.7829457495368957
sodium,0.5774421285144491,1.7814758117601228
glucose,0.5771406068090035,1.7809387391087506
hypofractionated,0.5764590999791955,1.779725430680529
special,0.57637066466041,1.779568047053954
recreational,0.5749484601169097,1.7770389361747532
efficacious,0.5742815657213713,1.7758542339471108
eeg,0.573426136275336,1.77433576550743
compound,0.5730519373326074,1.7736719351499866
ingredient,0.5721331572949726,1.7720430691820104
overnight,0.5711816404558306,1.7703577422976096
spectroscopy,0.5694081791428726,1.7672208637201159
absolute,0.5687065172213308,1.7659813070587997
solution,0.5684051857434921,1.765449241469789
strain,0.5656082468448971,1.760518286816782
fusion,0.5647718816060628,1.7590464660949967
consuming,0.5647592218045151,1.759024197056784
viral,0.5647192549968385,1.7589538958798678
mucosal,0.5647062526066597,1.7589310254236927
resection,0.5646090598405034,1.758760078359397
confined,0.5643975746569659,1.758388165989791
temporary,0.5642586226327194,1.7581438513691143
carbon,0.5603178820528164,1.75122909612553
reference,0.5595386487457172,1.7498650116245293
il,0.5592629503487276,1.7493826431430402
botanical,0.5588617260127466,1.748680889043494
naive,0.5587406132455791,1.748469114286701
polyphenols,0.5586138419559237,1.748247472651355
passive,0.5585509158782777,1.748137465756334
stiffness,0.5579076983372003,1.7470133946240352
hyperalgesic,0.5574833062511513,1.746272133268987
precise,0.5560156139866979,1.7437110230879032
lhrh,0.5550938955756227,1.742104553004588
eliminated,0.554871946645112,1.741717937668228
od,0.5544583330920382,1.7409976884862564
boost,0.5539007719925761,1.7400272464664035
limited,0.5529069147360635,1.7382987668342613
called,0.5528287464969261,1.7381628923911656
separated,0.5523847772125502,1.7373913727338897
glycaemic,0.5522148534345404,1.73709617370933
kind,0.5520534074883803,1.7368157492113028
bm,0.5507578350350968,1.7345670355704603
submaximal,0.5499068936096878,1.7330916484477825
randomised,0.5493001659818062,1.7320404527899893
resistance,0.5490026700397151,1.7315252544222584
asthma,0.54798927999331,1.729771432767124
mri,0.5472970560951088,1.7285744579780107
hydrochlorothiazide,0.547129525445799,1.7282848930328643
biotransformation,0.5470536662556721,1.728153791713253
lifelong,0.5453371808508825,1.7251899853454258
white,0.5443379918096715,1.7234670553278026
respectively,0.5436584207721763,1.722296234905808
autonomic,0.5434686576016918,1.7219694375197936
chosen,0.5431904433916015,1.7214904277896808
fathering,0.5425285306582965,1.7203513283890524
peak,0.5418428092509191,1.7191720510290407
thermal,0.5417948320899003,1.7190895720133
coated,0.5398531340671302,1.7157548577421196
electrical,0.5397721314131388,1.7156158826737944
fragile,0.5393582748366946,1.7149060106608303
glucagon,0.5386065953259608,1.7136174353083002
voriconazole,0.5384597779612016,1.713365864980141
simulated,0.5376766399620931,1.7120245883358047
cmax,0.5351395819784357,1.7076865878919327
alcohol,0.5349828186933161,1.7074189063143301
aerobic,0.5348751129622875,1.7072350174159754
runner,0.5339578840468804,1.705669810029078
agonist,0.5337541375754351,1.7053223212248447
dapoxetine,0.5334021721806838,1.704722212395842
youth,0.5322697692519496,1.7027928725710528
latency,0.5322286804937133,1.7027229083637663
plaque,0.5321069933061857,1.7025157214081634
disposition,0.531896613124358,1.7021575835150076
ng,0.529658061246627,1.6983514771329329
multiparametric,0.5292573655227975,1.6976710912814401
broader,0.528753045428199,1.696815137491578
rare,0.5282009398371994,1.6958785749317793
fraction,0.5278905385674698,1.6953522537584194
social,0.5271584629739181,1.694111581939159
cyberknife,0.5263905579990023,1.6928111645897037
influence,0.5261213873638154,1.6923555708522584
distributes,0.5248291368227035,1.6901700358835812
rifampicin,0.524222049842168,1.6891442670568593
simultaneously,0.5239213179966692,1.6886363639592594
wearing,0.5237544788488131,1.6883546568078016
game,0.5235670539726691,1.688038246797842
tendinopathy,0.5234656351689254,1.6878670566592744
sampling,0.523217307045115,1.6874479638382736
oxt,0.5228570823169166,1.6868402128241948
prandial,0.522142146745675,1.6856346617500686
condom,0.5210047429764387,1.6837185044610758
pressor,0.5208286766152687,1.6834220843663303
mouse,0.5192075206520098,1.6806952055607163
perfusion,0.519188179496027,1.6806626992869416
active,0.5191570845917378,1.6806104400536668
strenuous,0.5177401506048463,1.6782308122882905
gm,0.5174537344170906,1.6777502086464777
advantage,0.5174489982288286,1.67774226252445
lipoprotein,0.5174229972927047,1.6776986402221625
monotherapy,0.5171204917211969,1.6771912037912278
parallel,0.5163659240971857,1.675926126962604
pulmonary,0.5160810733841492,1.6754488061961499
radiolabeled,0.5156158233097042,1.6746694848180605
rise,0.5151230742643841,1.6738444963010342
capsaicin,0.5146264823221944,1.6730134849655365
ie,0.5141834355388663,1.6722724258965982
herniorrhaphy,0.513893485809629,1.6717876212473834
proof,0.5133938534150952,1.6709525506265663
tuberculosis,0.5131365570208143,1.67052267586526
tab,0.5131003750589028,1.670462234170886
kg,0.5120106661506064,1.6686429080413148
processed,0.5117221641441855,1.6681615706510846
ablation,0.5106848773643192,1.6664321058377312
normality,0.5099082224473697,1.6651383656088559
try,0.5092914081996426,1.6641116012345125
naïve,0.5089050732313639,1.6634688209040915
diarrhoea,0.5086527149534976,1.663049083741465
sucrose,0.5080853883699434,1.662105859369932
proportionality,0.5078590374136976,1.661729682694863
existence,0.5074435681468417,1.6610394284815162
amateur,0.5073207699739805,1.6608354683978672
tur,0.507168337480768,1.6605823224009315
selective,0.506498873000544,1.6594709935586955
recist,0.5058849593831579,1.6584525343730614
option,0.5055408894394167,1.6578820088588313
ejaculatory,0.5049917104632403,1.6569717848753995
indicate,0.5038835564905214,1.655136622018611
adhd,0.5038363264600462,1.6550584517115199
working,0.5031404730970835,1.6539071743285712
20mg,0.5019555134662399,1.65194852178511
silodosin,0.4998846981709595,1.6485311810810894
surface,0.49983964166251743,1.6484569056953193
sutent,0.49959778990839687,1.6480582717081924
panel,0.4995424010724236,1.6479669902069178
phosphodiesterase,0.49890097077332823,1.6469102731888772
odt,0.49858397663516096,1.6463882950225692
solifenacin,0.4982246198409382,1.6457967604951655
hydrocortisone,0.49813457479111645,1.6456485713158215
added,0.4980047180340253,1.6454348866035409
spanish,0.49750879013532434,1.6446190718471476
holep,0.4970122930218056,1.643802725898611
enter,0.49577547561566165,1.641770898833503
faeces,0.495631819227443,1.6415350648958256
fatty,0.4951182881414707,1.6406923020222755
schedule,0.49487525086123046,1.6402936010790399
supplemented,0.49401124919731254,1.6388769967407708
motile,0.4935873591273576,1.6381824402741694
release,0.4931348007727492,1.637441234856453
gy,0.49289964979628037,1.6370562342195782
mtd,0.4926760862923478,1.6366902890992323
dorsal,0.4913263209477158,1.6344826315121337
gradient,0.491158347607954,1.6342081050629438
reddy,0.49069384006460887,1.6334491793477521
mass,0.4901603809196717,1.6325780333263038
sedative,0.4890713329776487,1.6308010453670874
beta,0.48897506077737507,1.6306440521194052
cicatrix,0.4876609730274412,1.6285026500492792
ideation,0.48706560708451135,1.6275333835962171
urethroplasty,0.4864793975234327,1.6265795875552713
daytime,0.48525280849857644,1.6245856659962625
asymptomatic,0.48494552710247096,1.6240865377350642
cruciate,0.48397335282082254,1.6225084098038942
ischemic,0.48354803852206296,1.621818480506145
cyp3a,0.48250618467900463,1.620129662592965
emission,0.48112872372215987,1.6178995335481814
flow,0.4809875415571336,1.6176711311127947
physiology,0.4807606445708023,1.6173041280457896
protect,0.4794183411346356,1.6151346715176034
bibr,0.47923122998798706,1.6148324900888622
achieving,0.478479816049157,1.6136195382184768
torrent,0.47823160894222666,1.6132190760820393
gap,0.47819063436178383,1.6131529764614458
tracer,0.4762122674207821,1.6099647227497924
rotigotine,0.4760756576812373,1.6097448009104158
domain,0.47571756296448114,1.6091684629998233
korean,0.4757013433741457,1.6091423631582376
resonance,0.4750622529548127,1.6081143042368953
antiretroviral,0.47505031775308837,1.6080951111828152
far,0.47430521599719416,1.60689736296939
allergic,0.4740743736591079,1.6065264658360852
foot,0.47400907050242563,1.6064215580120158
fedovapagon,0.4737827520230785,1.6060580362652122
68ga,0.47366744726576615,1.6058728608091217
bia,0.4735765384028907,1.605726879369027
chip,0.47330530266892284,1.605291407920728
local,0.4729053303289176,1.6046494641483462
last,0.47278838763762154,1.6044618230932608
viagra,0.4724106248229845,1.603855831546734
aggregation,0.47181768482833714,1.6029051231629274
collecting,0.4715656560118543,1.60250119578461
saturated,0.4711199351687374,1.60178708675899
tool,0.4711079999475522,1.6017679691899045
depending,0.47088106997720264,1.6014045212723216
production,0.4706177359894751,1.6009828725534259
kinetic,0.4705780215299332,1.6009192916464556
getting,0.47028771932432467,1.6004546086975955
hemophilic,0.4694568687037103,1.5991254222468505
volume,0.4692913143172275,1.5988607019320706
nsclc,0.4690812108323882,1.5985248110139838
urate,0.46904761068559264,1.5984711012480106
arthropathy,0.46831598931260715,1.5973020533286062
enucleation,0.4672039512475094,1.5955267799125994
valsartan,0.46705350070219515,1.5952867500952592
correlated,0.46698354929413655,1.59517516144377
child,0.4655502744516706,1.5928904746986783
merck,0.4653737576870871,1.5926093276400632
nicotine,0.4652545374784566,1.5924194677415482
adrenergic,0.4637822700433444,1.5900767254109465
uric,0.4636137187855268,1.5898087385642465
radiosurgery,0.462937043279546,1.5887333178281366
ranbaxy,0.4628290224804335,1.5885617108542962
challenge,0.46243800767048254,1.587940681122655
zinc,0.4620445704590182,1.5873160490539104
asia,0.4613673698941834,1.5862414816188233
power,0.46099789883185593,1.5856555195481816
enhancing,0.45930564634020304,1.5829744591996675
